src word,tgt word,src slot,src predicted MSD,tgt slot,tgt predicted MSD,src apertium tags,tgt apertium tags,annotation
hedelmää,hedelmäni,0_3,N;PRT;SG,0_16,N;GEN;SG,n;sg;par,n;pl;nom;px1sg - n;sg;gen;px1sg - n;sg;nom;px1sg,ERR_SRC_SLOT_ERROR
sukukunnat,sukukunnalla,0_13,ADJ;NOM;PL,0_18,N;AT+ESS;SG,n;pl;nom,n;sg;ade,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
katosi,katolta,0_19,V;ACT;PRS;POS;COND,0_11,N;AT+ABL;SG,verb;actv;past;p3;sg - n;pl;nom;px2sg - n;sg;gen;px2sg - n;sg;nom;px2sg,n;sg;abl,ERR_TGT_SLOT_ERROR
vainajan,vainajasi,0_0,V;ACT;PRS;POS;IND;1;SG,0_19,V;ACT;PRS;POS;COND,n;sg;gen,n;pl;nom;px2sg - n;sg;gen;px2sg - n;sg;nom;px2sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
suuhunsa,suuhuni,0_12,N;NOM;PL,0_16,N;GEN;SG,n;sg;ill;px3sp,n;sg;ill;px1sg,SRC_SLOT_ERROR;TGT_SLOT_ERROR
etelästä,etelän,0_4,V;ACT;PRS;POS;IMP;2;SG,0_0,V;ACT;PRS;POS;IND;1;SG,n;sg;ela,n;sg;gen,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
kiivastuu,kiivastuivat,1_0,V;ACT;PRS;POS;IND;3;SG,1_5,V;ACT;PST;POS;IND;3;PL,verb;actv;pri;p3;sg,verb;actv;past;p3;pl,C
niskoittelua,niskoittelu,0_3,N;PRT;SG,0_1,ADJ;NOM;SG,n;sg;par,n;sg;nom,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
nöyrille,nöyristä,0_6,N;AT+ALL;SG,0_4,V;ACT;PRS;POS;IMP;2;SG,adj;pst;pl;all,adj;pst;pl;ela,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
vaarassa,vaara,0_7,N;IN+ESS;SG,0_1,ADJ;NOM;SG,n;sg;ine,n;sg;nom,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
hallitusmieheksi,hallitusmiehemme,0_2,ADJ;TRANS;SG,0_10,V;ACT;PRS;POS;IND;1;PL,n;sg;nom;cmp;n;sg;tra,n;sg;nom;cmp;n;pl;nom;px1pl - n;sg;nom;cmp;n;sg;gen;px1pl - n;sg;nom;cmp;n;sg;nom;px1pl,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
kuulivat,kuulko,1_5,V;ACT;PST;POS;IND;3;PL,1_6,V;ACT;PRS;POS;IMP,verb;actv;past;p3;pl,verb;actv;imp;conneg,C
piirinsä,piirin,0_8,ADJ;GEADJ;SG,0_0,V;ACT;PRS;POS;IND;1;SG,n;pl;nom;px3sp - n;sg;gen;px3sp - n;sg;nom;px3sp,n;sg;gen,ERR_TGT_SLOT_ERROR
sekanjan,sekanja,0_0,V;ACT;PRS;POS;IND;1;SG,0_1,ADJ;NOM;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
anot,anova,1_9,V;ACT;PRS;POS;IND;2;SG,1_2,V.PTCP;ACT;PRS,verb;actv;pri;p2;sg,verb;actv;pprs;pst;sg;nom - adj;pst;sg;nom,MAPPED_POS_PAIR_ERROR
hopeansa,hopeaa,0_12,N;NOM;PL,0_3,N;PRT;SG,n;pl;nom;px3sp - n;sg;gen;px3sp - n;sg;nom;px3sp,n;sg;par,ERR_TGT_SLOT_ERROR
syntiuhrisi,syntiuhri,0_19,V;ACT;PRS;POS;COND,0_1,ADJ;NOM;SG,n;pl;nom;px2sg - n;sg;gen;px2sg - n;sg;nom;px2sg,n;sg;nom,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
keskuudessansa,keskuudessaan,0_12,N;NOM;PL,0_9,N;IN+ALL;SG,post;px3sp - n;sg;ine;px3sp,post;px3sp - n;sg;ine;px3sp,SRC_SLOT_ERROR;TGT_SLOT_ERROR
viisaat,viisaasi,0_13,ADJ;NOM;PL,0_19,V;ACT;PRS;POS;COND,adj;pst;pl;nom - n;pl;nom,adj;pst;pl;nom;px2sg - adj;pst;sg;gen;px2sg - adj;pst;sg;nom;px2sg - n;pl;nom;px2sg - n;sg;gen;px2sg - n;sg;nom;px2sg,TGT_SLOT_ERROR
olevalle,olevansa,0_6,N;AT+ALL;SG,0_12,N;NOM;PL,adj;pst;sg;all - vaux;actv;pprs;pst;sg;all - verb;actv;pprs;pst;sg;all,adj;pst;pl;nom;px3sp - adj;pst;sg;gen;px3sp - adj;pst;sg;nom;px3sp - vaux;actv;pprs;pst;pl;nom;px3sp - vaux;actv;pprs;pst;sg;gen;px3sp - vaux;actv;pprs;pst;sg;nom;px3sp - verb;actv;pprs;pst;pl;nom;px3sp - verb;actv;pprs;pst;sg;gen;px3sp - verb;actv;pprs;pst;sg;nom;px3sp,SRC_SLOT_ERROR;TGT_SLOT_ERROR
varokoon,varon,1_17,V;ACT;PRS;POS;IMP;3;SG,1_3,V;ACT;PST;POS;IND;1;SG,verb;actv;imp;p3;sg,verb;actv;pri;p1;sg,TGT_SLOT_ERROR
sanotte,sanonut,1_23,V;ACT;PRS;POS;IND;2;PL,1_7,V;ACT;PST;POS;IND;SG,verb;actv;pri;p2;pl,verb;actv;past;sg;conneg - verb;actv;pp;pst;sg;nom - adj;pst;sg;nom,C
kaikin,kaikilta,0_0,V;ACT;PRS;POS;IND;1;SG,0_11,N;AT+ABL;SG,adv; - prn;pl;ins,prn;pl;abl,TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
kipusi,kipua,0_19,V;ACT;PRS;POS;COND,0_3,N;PRT;SG,n;pl;nom;px2sg - n;sg;gen;px2sg - n;sg;nom;px2sg - verb;actv;past;p3;sg,n;sg;par - verb;actv;imp;p2;sg - verb;actv;pri;conneg,SRC_SLOT_ERROR
almua,almusi,0_3,N;PRT;SG,0_19,V;ACT;PRS;POS;COND,n;sg;par,n;pl;nom;px2sg - n;sg;gen;px2sg - n;sg;nom;px2sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
gesurissa,gesurin,0_7,N;IN+ESS;SG,0_0,V;ACT;PRS;POS;IND;1;SG,n;sg;nom;cmp;n;pl;ine,n;sg;nom;cmp;n;pl;ins,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
kantoivat,kanto,1_5,V;ACT;PST;POS;IND;3;PL,1_11,V;ACT;PRS;POS;IND,verb;actv;past;p3;pl,n;sg;nom,ERR_TGT_SLOT_ERROR
oveni,ovesta,0_16,N;GEN;SG,0_17,N;IN+ABL;SG,n;pl;nom;px1sg - n;sg;gen;px1sg - n;sg;nom;px1sg,n;sg;ela,ERR_TGT_SLOT_ERROR
katsokaa,katsokoot,1_22,V;ACT;PRS;POS;IMP;2;PL,1_20,V;ACT;PRS;POS;IMP;3;PL,verb;actv;imp;p2;pl,verb;actv;imp;p3;pl,C
kurjuutensa,kurjuutenne,0_12,N;NOM;PL,0_5,N;NOM;SG,n;pl;nom;px3sp - n;sg;gen;px3sp - n;sg;nom;px3sp,n;pl;nom;px2pl - n;sg;gen;px2pl - n;sg;nom;px2pl,C
nuorella,nuorelta,0_18,N;AT+ESS;SG,0_11,N;AT+ABL;SG,adj;pst;sg;ade - n;sg;ade,adj;pst;sg;abl - n;sg;abl,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
vapisette,vapisee,1_23,V;ACT;PRS;POS;IND;2;PL,1_0,V;ACT;PRS;POS;IND;3;SG,verb;actv;pri;p2;pl - verb;actv;pri;p2;pl,verb;actv;pri;p3;sg - verb;actv;pri;p3;sg,C
pahoille,pahoja,1_15,N;AT+ALL;PL,1_1,V;NFIN,adj;pst;pl;all - n;pl;all,adj;pst;pl;par - n;pl;par,TGT_SLOT_ERROR
vääräksi,väärää,0_2,ADJ;TRANS;SG,0_3,N;PRT;SG,adj;pst;sg;tra - n;sg;tra,adj;pst;sg;par - n;sg;par,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
hetket,hetkestä,0_13,ADJ;NOM;PL,0_4,V;ACT;PRS;POS;IMP;2;SG,n;pl;nom,n;sg;ela,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
pyhä,pyhät,0_1,ADJ;NOM;SG,0_13,ADJ;NOM;PL,adj;pst;sg;nom - n;sg;nom,adj;pst;pl;nom - n;pl;nom,ERR_SRC_SLOT_ERROR
päämme,pääksi,0_10,V;ACT;PRS;POS;IND;1;PL,0_2,ADJ;TRANS;SG,n;pl;nom;px1pl - n;sg;gen;px1pl - n;sg;nom;px1pl,n;sg;tra,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
rangaistukseen,rangaistuksesi,0_0,V;ACT;PRS;POS;IND;1;SG,0_19,V;ACT;PRS;POS;COND,verb;pasv;pp;pst;sg;tra;px3sp - adj;pst;sg;tra;px3sp - n;sg;ill,verb;pasv;pp;pst;sg;tra;px2sg - adj;pst;sg;tra;px2sg - n;pl;nom;px2sg - n;sg;gen;px2sg - n;sg;nom;px2sg,SRC_SLOT_ERROR;TGT_SLOT_ERROR
nuorukaisensa,nuorukaiseni,0_12,N;NOM;PL,0_16,N;GEN;SG,n;pl;nom;px3sp - n;sg;gen;px3sp - n;sg;nom;px3sp,n;pl;nom;px1sg - n;sg;gen;px1sg - n;sg;nom;px1sg,C
tuskaksi,tuskassa,0_2,ADJ;TRANS;SG,0_7,N;IN+ESS;SG,n;sg;tra,n;sg;ine,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
juudeaan,juudeassa,0_9,N;IN+ALL;SG,0_7,N;IN+ESS;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
osoittakoon,osoittamaan,1_17,V;ACT;PRS;POS;IMP;3;SG,1_18,V;IN+ALL;SG,verb;actv;imp;p3;sg,verb;actv;infma;sg;ill - verb;agent;pst;sg;ill,C
muuna,muun,0_14,ADJ;FRML;SG,0_0,V;ACT;PRS;POS;IND;1;SG,adj;pst;sg;ess - prn;sg;ess,adj;pst;sg;gen - prn;sg;gen - adv;,TGT_SLOT_ERROR
maalla,maat,0_18,N;AT+ESS;SG,0_13,ADJ;NOM;PL,n;sg;ade,n;pl;nom,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
ammuivat,ammun,1_5,V;ACT;PST;POS;IND;3;PL,1_3,V;ACT;PST;POS;IND;1;SG,verb;actv;past;p3;pl,n;sg;gen - verb;actv;pri;p1;sg - verb;actv;pri;p1;sg,TGT_SLOT_ERROR
beersebaan,beersebassa,0_9,N;IN+ALL;SG,0_7,N;IN+ESS;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
puhun,puhuivat,1_3,V;ACT;PST;POS;IND;1;SG,1_5,V;ACT;PST;POS;IND;3;PL,verb;actv;pri;p1;sg,verb;actv;past;p3;pl,SRC_SLOT_ERROR
pahalle,pahasta,0_6,N;AT+ALL;SG,0_17,N;IN+ABL;SG,adj;pst;sg;all - n;sg;all,adj;pst;sg;ela - n;sg;ela - n;sg;par,ERR_SRC_SLOT_ERROR
käskyä,käskysi,0_3,N;PRT;SG,0_19,V;ACT;PRS;POS;COND,n;sg;par,n;pl;nom;px2sg - n;sg;gen;px2sg - n;sg;nom;px2sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
vaimosta,vaimolla,0_17,N;IN+ABL;SG,0_18,N;AT+ESS;SG,n;sg;ela,n;sg;ade,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
piiloutukaa,piiloutuivat,1_22,V;ACT;PRS;POS;IMP;2;PL,1_5,V;ACT;PST;POS;IND;3;PL,verb;actv;imp;p2;pl,verb;actv;past;p3;pl,C
kuoleman,kuolemasta,0_0,V;ACT;PRS;POS;IND;1;SG,0_17,N;IN+ABL;SG,n;sg;gen - verb;actv;infma;sg;ins - verb;agent;pst;sg;gen,n;sg;ela - verb;actv;infma;sg;ela - verb;agent;pst;sg;ela,SRC_SLOT_ERROR
polvessa,polven,0_7,N;IN+ESS;SG,0_0,V;ACT;PRS;POS;IND;1;SG,n;sg;ine,n;sg;gen,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
kohtalosi,kohtalo,0_19,V;ACT;PRS;POS;COND,0_1,ADJ;NOM;SG,n;pl;nom;px2sg - n;sg;gen;px2sg - n;sg;nom;px2sg,n;sg;nom,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
profeetoille,profeetoiksi,0_6,N;AT+ALL;SG,0_2,ADJ;TRANS;SG,n;pl;all,n;pl;tra,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
surun,suruksi,0_0,V;ACT;PRS;POS;IND;1;SG,0_2,ADJ;TRANS;SG,n;sg;gen,n;sg;tra,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
sisarelle,sisaremme,0_6,N;AT+ALL;SG,0_10,V;ACT;PRS;POS;IND;1;PL,n;sg;all,n;pl;nom;px1pl - n;sg;gen;px1pl - n;sg;nom;px1pl,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
laivoja,laivoista,1_1,V;NFIN,1_14,N;IN+ABL;PL,n;pl;par,n;pl;ela,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
viettelykseksi,viettelyksen,0_2,ADJ;TRANS;SG,0_0,V;ACT;PRS;POS;IND;1;SG,n;sg;tra,n;sg;gen,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
orjaa,orjasta,0_3,N;PRT;SG,0_17,N;IN+ABL;SG,n;sg;par,n;sg;ela,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
asumaan,asuva,1_18,V;IN+ALL;SG,1_2,V.PTCP;ACT;PRS,verb;actv;infma;sg;ill - verb;agent;pst;sg;ill - n;sg;ill,verb;actv;pprs;pst;sg;nom,MAPPED_POS_PAIR_ERROR
pelto,peltoa,0_1,ADJ;NOM;SG,0_3,N;PRT;SG,n;sg;nom,n;sg;par,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
leipänsä,leipänne,0_8,ADJ;GEADJ;SG,0_5,N;NOM;SG,n;pl;nom;px3sp - n;sg;gen;px3sp - n;sg;nom;px3sp,n;pl;nom;px2pl - n;sg;gen;px2pl - n;sg;nom;px2pl,SRC_SLOT_ERROR
kapinasta,kapinaa,0_17,N;IN+ABL;SG,0_3,N;PRT;SG,n;sg;ela,n;sg;par,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
gaarebin,gaareb,0_15,N;GEN;PL,0_1,ADJ;NOM;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
jakelen,jakelee,1_3,V;ACT;PST;POS;IND;1;SG,1_0,V;ACT;PRS;POS;IND;3;SG,verb;actv;pri;p1;sg,verb;actv;pri;p3;sg,SRC_SLOT_ERROR
joutui,joutuvat,1_4,V;ACT;PST;POS;IND;3;SG,1_16,V;ACT;PRS;POS;IND;3;PL,vaux;actv;past;p3;sg - verb;actv;past;p3;sg,vaux;actv;pprs;pst;pl;nom - vaux;actv;pri;p3;pl - verb;actv;pprs;pst;pl;nom - verb;actv;pri;p3;pl - n;pl;nom,C
soittamaan,soittaa,1_18,V;IN+ALL;SG,1_1,V;NFIN,verb;actv;infma;sg;ill - verb;agent;pst;sg;ill,verb;actv;infa;pl;lat - verb;actv;infa;sg;lat - verb;actv;pri;p3;sg,C
karjasi,karjan,0_19,V;ACT;PRS;POS;COND,0_0,V;ACT;PRS;POS;IND;1;SG,n;pl;nom;px2sg - n;sg;gen;px2sg - n;sg;nom;px2sg,n;sg;gen,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
lupaukset,lupauksesi,0_13,ADJ;NOM;PL,0_19,V;ACT;PRS;POS;COND,n;pl;nom,n;pl;nom;px2sg - n;sg;gen;px2sg - n;sg;nom;px2sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
monista,monissa,0_17,N;IN+ABL;SG,0_7,N;IN+ESS;SG,n;use_blacklist;sg;ela - prn;pl;ela - verb;actv;imp;p2;sg - verb;actv;pri;conneg,n;use_blacklist;sg;ine - prn;pl;ine,C
miehiksi,miehistä,0_2,ADJ;TRANS;SG,0_4,V;ACT;PRS;POS;IMP;2;SG,n;pl;tra,adj;pst;sg;par - verb;actv;imp;p2;sg - verb;actv;pri;conneg - n;pl;ela,ERR_SRC_SLOT_ERROR
mainitsee,mainitseva,1_0,V;ACT;PRS;POS;IND;3;SG,1_2,V.PTCP;ACT;PRS,verb;actv;pri;p3;sg,verb;actv;pprs;pst;sg;nom,MAPPED_POS_PAIR_ERROR
saaneet,saakaa,1_12,V.PTCP;ACT;PST,1_22,V;ACT;PRS;POS;IMP;2;PL,verb;actv;past;pl;conneg - verb;actv;pp;pst;pl;nom,verb;actv;imp;p2;pl,MAPPED_POS_PAIR_ERROR
istunut,istun,1_7,V;ACT;PST;POS;IND;SG,1_3,V;ACT;PST;POS;IND;1;SG,verb;actv;past;sg;conneg - verb;actv;pp;pst;sg;nom,verb;actv;pri;p1;sg,TGT_SLOT_ERROR
orjantappurat,orjantappuralle,0_13,ADJ;NOM;PL,0_6,N;AT+ALL;SG,n;pl;nom,n;sg;all,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
kuivettuivat,kuivettua,1_5,V;ACT;PST;POS;IND;3;PL,1_1,V;NFIN,verb;actv;past;p3;pl,verb;pasv;pp;pst;sg;par - verb;pasv;pp;pst;sg;par - verb;actv;infa;pl;lat - verb;actv;infa;sg;lat,C
siunauksena,siunauksesta,0_14,ADJ;FRML;SG,0_17,N;IN+ABL;SG,n;sg;ess,n;sg;ela,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
gesurissa,gesuriin,0_7,N;IN+ESS;SG,0_15,N;GEN;PL,n;sg;nom;cmp;n;pl;ine,n;sg;nom;cmp;n;pl;ill,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
riippukoon,riippuu,1_17,V;ACT;PRS;POS;IMP;3;SG,1_0,V;ACT;PRS;POS;IND;3;SG,verb;actv;imp;p3;sg,verb;actv;pri;p3;sg,C
betaniaa,betaniaan,0_3,N;PRT;SG,0_9,N;IN+ALL;SG,n;sg;nom;cmp;n;sg;nom;cmp;n;sg;nom,n;sg;nom;cmp;n;sg;par;px3sp - n;sg;nom;cmp;n;sg;nom;cmp;n;sg;gen,ERR_SRC_SLOT_ERROR
tuoksui,tuoksu,1_4,V;ACT;PST;POS;IND;3;SG,1_11,V;ACT;PRS;POS;IND,verb;actv;past;p3;sg,n;sg;nom - verb;actv;imp;p2;sg - verb;actv;pri;conneg,C
juudean,juudeassa,0_0,V;ACT;PRS;POS;IND;1;SG,0_7,N;IN+ESS;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
viinitarhoista,viinitarhoille,1_14,N;IN+ABL;PL,1_15,N;AT+ALL;PL,n;pl;ela,n;pl;all,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
asumuksen,asumuksesta,0_0,V;ACT;PRS;POS;IND;1;SG,0_17,N;IN+ABL;SG,n;sg;gen,n;sg;ela,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
esikoisina,esikoisista,0_14,ADJ;FRML;SG,0_17,N;IN+ABL;SG,n;pl;ess,n;pl;ela,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
ovilla,ovi,0_18,N;AT+ESS;SG,0_1,ADJ;NOM;SG,n;pl;ade,n;sg;nom,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
nöyristä,nöyrille,0_4,V;ACT;PRS;POS;IMP;2;SG,0_6,N;AT+ALL;SG,adj;pst;pl;ela,adj;pst;pl;all,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
asunut,asun,1_7,V;ACT;PST;POS;IND;SG,1_3,V;ACT;PST;POS;IND;1;SG,verb;actv;past;sg;conneg - verb;actv;pp;pst;sg;nom - adj;pst;sg;nom,n;sg;gen - verb;actv;pri;p1;sg,TGT_SLOT_ERROR
muuttuvat,muuttukaa,1_16,V;ACT;PRS;POS;IND;3;PL,1_22,V;ACT;PRS;POS;IMP;2;PL,verb;actv;pprs;pst;pl;nom - verb;actv;pri;p3;pl - adj;pst;pl;nom,verb;actv;imp;p2;pl,C
kultanne,kultaa,0_5,N;NOM;SG,0_3,N;PRT;SG,adj;pst;pl;nom;px2pl - adj;pst;sg;gen;px2pl - adj;pst;sg;nom;px2pl - n;pl;nom;px2pl - n;sg;gen;px2pl - n;sg;nom;px2pl,verb;actv;imp;p2;sg - verb;actv;pri;conneg - verb;actv;pri;p3;sg - adj;pst;sg;par - n;sg;par - verb;actv;infa;pl;lat - verb;actv;infa;sg;lat - verb;actv;pri;p3;sg,C
asuisi,asunut,1_13,V;ACT;PRS;POS;COND;3;SG,1_7,V;ACT;PST;POS;IND;SG,verb;actv;cni;conneg - verb;actv;cni;p3;sg,verb;actv;past;sg;conneg - verb;actv;pp;pst;sg;nom - adj;pst;sg;nom,C
naisena,naisensa,0_14,ADJ;FRML;SG,0_12,N;NOM;PL,n;sg;ess,n;pl;nom;px3sp - n;sg;gen;px3sp - n;sg;nom;px3sp,ERR_SRC_SLOT_ERROR
tähteä,tähtesi,0_3,N;PRT;SG,0_19,V;ACT;PRS;POS;COND,n;sg;par,post;px2sg - n;pl;nom;px2sg - n;sg;gen;px2sg - n;sg;nom;px2sg,ERR_SRC_SLOT_ERROR
lohdutuksesi,lohdutuksenne,0_19,V;ACT;PRS;POS;COND,0_5,N;NOM;SG,n;pl;nom;px2sg - n;sg;gen;px2sg - n;sg;nom;px2sg,n;pl;nom;px2pl - n;sg;gen;px2pl - n;sg;nom;px2pl,ERR_SRC_SLOT_ERROR
runsasta,runsas,0_17,N;IN+ABL;SG,0_1,ADJ;NOM;SG,adj;pst;sg;par - n;sg;par,adj;pst;sg;nom - n;sg;nom,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
abda,abdin,1_1,V;NFIN,1_3,V;ACT;PST;POS;IND;1;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
jatkoi,jatkoivat,1_4,V;ACT;PST;POS;IND;3;SG,1_5,V;ACT;PST;POS;IND;3;PL,verb;actv;past;p3;sg,verb;actv;past;p3;pl,C
omilta,omilla,0_11,N;AT+ABL;SG,0_18,N;AT+ESS;SG,adj;pst;pl;abl - n;pl;abl,adj;pst;pl;ade - n;pl;ade,SRC_SLOT_ERROR;TGT_SLOT_ERROR
seisot,seisokoon,1_9,V;ACT;PRS;POS;IND;2;SG,1_17,V;ACT;PRS;POS;IMP;3;SG,verb;actv;pri;p2;sg,verb;actv;imp;p3;sg,C
perintöosana,perintöosaksi,0_14,ADJ;FRML;SG,0_2,ADJ;TRANS;SG,n;sg;ess,n;sg;tra,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
koossa,koolla,0_7,N;IN+ESS;SG,0_18,N;AT+ESS;SG,n;sg;ine - n;sg;ine - adv;,n;sg;ade - n;sg;ade - adv;,C
evankeliumista,evankeliumimme,0_17,N;IN+ABL;SG,0_10,V;ACT;PRS;POS;IND;1;PL,n;sg;ela,n;pl;nom;px1pl - n;sg;gen;px1pl - n;sg;nom;px1pl,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
paahtunut,paahtuivat,1_7,V;ACT;PST;POS;IND;SG,1_5,V;ACT;PST;POS;IND;3;PL,verb;actv;past;sg;conneg - verb;actv;pp;pst;sg;nom - adj;pst;sg;nom,verb;actv;past;p3;pl,C
joosuaksi,joosuan,0_2,ADJ;TRANS;SG,0_0,V;ACT;PRS;POS;IND;1;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
kirkastakaa,kirkastan,1_22,V;ACT;PRS;POS;IMP;2;PL,1_3,V;ACT;PST;POS;IND;1;SG,verb;actv;imp;p2;pl,verb;actv;pri;p1;sg,TGT_SLOT_ERROR
viinipuusta,viinipuuksi,0_17,N;IN+ABL;SG,0_2,ADJ;TRANS;SG,n;sg;ela,n;sg;tra,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
leiri,leiriksi,0_1,ADJ;NOM;SG,0_2,ADJ;TRANS;SG,n;sg;nom,n;sg;tra,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
pukekoon,pukenut,1_17,V;ACT;PRS;POS;IMP;3;SG,1_7,V;ACT;PST;POS;IND;SG,verb;actv;imp;p3;sg,verb;actv;past;sg;conneg - verb;actv;pp;pst;sg;nom,C
palvelijalta,palvelijaa,0_11,N;AT+ABL;SG,0_3,N;PRT;SG,n;sg;abl,n;sg;par,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
kykeneväsi,kykenevää,0_19,V;ACT;PRS;POS;COND,0_3,N;PRT;SG,verb;actv;pprs;pst;pl;nom;px2sg - verb;actv;pprs;pst;sg;gen;px2sg - verb;actv;pprs;pst;sg;nom;px2sg - adj;pst;pl;nom;px2sg - adj;pst;sg;gen;px2sg - adj;pst;sg;nom;px2sg,verb;actv;pprs;pst;sg;par - adj;pst;sg;par,SRC_SLOT_ERROR;TGT_SLOT_ERROR
menoksi,menonsa,0_2,ADJ;TRANS;SG,0_12,N;NOM;PL,n;sg;tra,n;pl;nom;px3sp - n;sg;gen;px3sp - n;sg;nom;px3sp,ERR_SRC_SLOT_ERROR
antakoot,antaja,1_20,V;ACT;PRS;POS;IMP;3;PL,1_1,V;NFIN,verb;actv;imp;p3;pl,n;sg;nom,ERR_TGT_SLOT_ERROR
istukoon,istutte,1_17,V;ACT;PRS;POS;IMP;3;SG,1_23,V;ACT;PRS;POS;IND;2;PL,verb;actv;imp;p3;sg,verb;actv;pri;p2;pl,C
purkautui,purkautua,1_4,V;ACT;PST;POS;IND;3;SG,1_1,V;NFIN,verb;actv;past;p3;sg,verb;actv;infa;pl;lat - verb;actv;infa;sg;lat,C
tarkastaja,tarkastakoon,1_1,V;NFIN,1_17,V;ACT;PRS;POS;IMP;3;SG,n;sg;nom,verb;actv;imp;p3;sg,ERR_SRC_SLOT_ERROR
tutkikoon,tutkineet,1_17,V;ACT;PRS;POS;IMP;3;SG,1_12,V.PTCP;ACT;PST,verb;actv;imp;p3;sg,verb;actv;past;pl;conneg - verb;actv;pp;pst;pl;nom - adj;pst;pl;nom,MAPPED_POS_PAIR_ERROR
esipihan,esipihat,0_0,V;ACT;PRS;POS;IND;1;SG,0_13,ADJ;NOM;PL,n;sg;gen,n;pl;nom,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
henkensä,henkemme,0_8,ADJ;GEADJ;SG,0_10,V;ACT;PRS;POS;IND;1;PL,n;pl;nom;px3sp - n;sg;gen;px3sp - n;sg;nom;px3sp,n;pl;nom;px1pl - n;sg;gen;px1pl - n;sg;nom;px1pl,ERR_TGT_SLOT_ERROR
