src word,tgt word,src slot,tgt slot,src apertium tags,tgt apertium tags,annotation
новые,новом,2_8,2_14,n;nt;nn;pl;acc - n;nt;nn;pl;nom - adj;sint;mfn;an;pl;nom - adj;sint;mfn;nn;pl;acc,n;nt;nn;sg;prp - adj;sint;nt;an;sg;prp - adj;sint;m;an;sg;prp,C
орал,орать,0_4,0_22,verb;impf;tv;past;m;sg - verb;impf;iv;past;m;sg - verb;impf;tv;past;m;sg - verb;impf;iv;past;m;sg - n;nt;nn;pl;gen,verb;impf;tv;inf - verb;impf;iv;inf - verb;impf;tv;inf - verb;impf;iv;inf,C
собирал,собирает,1_4,1_3,verb;impf;tv;past;m;sg - verb;impf;iv;past;m;sg,verb;impf;tv;pres;p3;sg - verb;impf;iv;pres;p3;sg,C
полагается,полагай,1_12,1_1,verb;impf;iv;pres;p3;sg - verb;impf;iv;pres;p3;sg - verb;impf;tv;pres;p3;sg;pass,verb;impf;tv;imp;p2;sg - verb;impf;iv;imp;p2;sg,C
скрыли,скрыл,2_3,2_18,verb;perf;tv;past;mfn;pl - verb;perf;iv;past;mfn;pl,verb;perf;tv;past;m;sg - verb;perf;iv;past;m;sg,C
поклониться,поклонение,0_20,0_7,verb;perf;iv;inf,n;nt;nn;sg;nom - n;nt;nn;sg;acc,POS_PAIR_ERROR
сейте,сеешь,1_5,1_23,verb;impf;tv;imp;p2;pl - verb;impf;iv;imp;p2;pl,verb;impf;tv;pres;p2;sg - verb;impf;iv;pres;p2;sg,C
знаком,знакомых,2_18,2_1,n;m;nn;sg;ins - adj;sint;short;m;sg,n;m;aa;pl;prp - n;m;aa;pl;acc - n;m;aa;pl;gen - n;f;aa;pl;prp - n;f;aa;pl;acc - n;f;aa;pl;gen - adj;sint;mfn;an;pl;gen - adj;sint;mfn;an;pl;prp - adj;sint;mfn;aa;pl;acc,C
левитами,левита,2_17,2_6,n;m;aa;pl;ins,n;m;aa;sg;gen - n;m;aa;sg;acc,C
суетные,суетен,0_21,0_24,adj;sint;mfn;an;pl;nom - adj;sint;mfn;nn;pl;acc,adj;sint;short;m;sg,C
Еллина,Еллинов,2_6,2_1,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
надменный,надменные,0_12,0_21,adj;sint;m;an;sg;nom - adj;sint;m;nn;sg;acc,adj;sint;mfn;an;pl;nom - adj;sint;mfn;nn;pl;acc,C
соделаю,соделается,1_2,1_12,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
угодных,угодное,0_19,0_3,adj;sint;mfn;an;pl;gen - adj;sint;mfn;an;pl;prp - adj;sint;mfn;aa;pl;acc,adj;sint;nt;an;sg;nom - adj;sint;nt;an;sg;acc,C
песне,песне,1_10,1_10,n;f;nn;sg;dat - n;f;nn;sg;prp,n;f;nn;sg;dat - n;f;nn;sg;prp,C
живот,животное,0_26,0_3,n;m;nn;sg;nom - n;m;nn;sg;dat - n;m;nn;sg;acc - n;m;aa;sg;nom,n;nt;aa;sg;acc - n;nt;aa;sg;nom - adj;sint;nt;an;sg;nom - adj;sint;nt;an;sg;acc,PARADIGM_ERROR
развеет,развеется,1_3,1_12,verb;perf;tv;fut;p3;sg - verb;perf;iv;fut;p3;sg,verb;perf;iv;fut;p3;sg,PARADIGM_ERROR
посылали,посылала,1_6,1_16,verb;impf;tv;past;mfn;pl - verb;impf;iv;past;mfn;pl,verb;impf;tv;past;f;sg - verb;impf;iv;past;f;sg,C
возьмут,возьмем,1_0,1_13,verb;perf;tv;fut;p3;pl,verb;perf;tv;imp;p1;pl - verb;perf;tv;fut;p1;pl,C
великую,велик,2_13,2_18,adj;f;an;sg;acc,adj;sint;short;m;sg - n;m;nn;sg;nom - n;m;nn;sg;acc - adj;short;m;sg,C
изгнаны,изгнан,2_3,2_18,verb;perf;tv;pp;pasv;short;mfn;pl,verb;perf;tv;pp;pasv;short;m;sg,C
белые,белая,2_8,2_9,n;m;aa;pl;nom - n;mfn;aa;pl;nom - n;mfn;nn;pl;nom - n;mfn;nn;pl;acc - adj;sint;mfn;an;pl;nom - adj;sint;mfn;nn;pl;acc,adj;sint;f;an;sg;nom,C
море,морем,1_10,1_13,n;m;nn;sg;prp - n;nt;nn;sg;nom - n;nt;nn;sg;acc - n;nt;nn;sg;prp,n;nt;nn;sg;ins,C
исполнишь,исполнит,0_15,0_16,verb;perf;tv;fut;p2;sg - verb;perf;iv;fut;p2;sg,verb;perf;tv;fut;p3;sg - verb;perf;iv;fut;p3;sg,C
наготу,наготе,2_19,2_0,n;f;nn;sg;acc,n;f;nn;sg;dat - n;f;nn;sg;prp,C
Моисее,Моисей,1_10,1_1,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
подстерегать,подстерегаешь,1_14,1_23,verb;impf;tv;inf - verb;impf;iv;inf,verb;impf;tv;pres;p2;sg - verb;impf;iv;pres;p2;sg,C
возложить,возложили,0_31,0_0,verb;perf;tv;inf - verb;perf;iv;inf,verb;perf;tv;past;mfn;pl - verb;perf;iv;past;mfn;pl,C
ветры,ветре,2_3,2_0,n;m;nn;pl;nom - n;m;nn;pl;acc,n;m;nn;sg;prp,C
возлюбленных,возлюбленною,2_1,2_4,n;m;aa;pl;prp - n;m;aa;pl;acc - n;m;aa;pl;gen - n;f;aa;pl;prp - n;f;aa;pl;acc - n;f;aa;pl;gen - verb;perf;tv;pp;pasv;mfn;an;pl;gen - verb;perf;tv;pp;pasv;mfn;an;pl;prp - verb;perf;tv;pp;pasv;mfn;aa;pl;acc - adj;sint;mfn;an;pl;gen - adj;sint;mfn;an;pl;prp - adj;sint;mfn;aa;pl;acc,verb;perf;tv;pp;pasv;f;an;sg;ins - adj;sint;f;an;sg;ins,C
наполнены,наполнив,0_27,0_30,verb;perf;tv;pp;pasv;short;mfn;pl,verb;perf;tv;pp;adv - verb;perf;iv;pp;adv,C
посвяти,посвятить,0_1,0_31,verb;perf;tv;imp;p2;sg - verb;perf;iv;imp;p2;sg,verb;perf;tv;inf - verb;perf;iv;inf,C
отходила,отходите,0_9,0_6,verb;perf;tv;past;f;sg - verb;perf;iv;past;f;sg - verb;impf;iv;past;f;sg,verb;perf;tv;fut;p2;pl - verb;perf;tv;imp;p2;pl - verb;perf;iv;fut;p2;pl - verb;perf;iv;imp;p2;pl - verb;impf;iv;imp;p2;pl - verb;impf;iv;pres;p2;pl,C
несправедливо,несправедливый,2_0,2_12,adv; - adj;sint;cmp - adj;sint;short;nt;sg,adj;sint;m;an;sg;nom - adj;sint;m;nn;sg;acc,C
южная,южную,2_9,2_13,adj;sint;f;an;sg;nom,adj;sint;f;an;sg;acc - adj;sint;f;nn;sg;acc,C
любила,любили,0_9,0_0,verb;impf;tv;past;f;sg - verb;impf;iv;past;f;sg,verb;impf;tv;past;mfn;pl - verb;impf;iv;past;mfn;pl,C
грехом,грехам,2_14,2_11,n;m;nn;sg;ins,n;m;nn;pl;dat,C
холме,холму,2_0,2_19,n;m;nn;sg;prp,n;m;nn;sg;dat,C
тяжелые,тяжелый,2_8,2_12,adj;sint;mfn;an;pl;nom - adj;sint;mfn;nn;pl;acc,adj;sint;m;an;sg;nom - adj;sint;m;nn;sg;acc,C
слуги,слугою,2_3,2_4,n;m;aa;sg;gen - n;m;aa;pl;nom,n;m;aa;sg;ins,C
кедрах,кедры,2_10,2_3,n;m;nn;pl;prp,n;m;nn;pl;nom - n;m;nn;pl;acc,C
падали,падения,0_0,0_11,n;f;nn;sg;gen - n;f;nn;sg;dat - n;f;nn;sg;prp - n;f;nn;pl;nom - n;f;nn;pl;acc - verb;impf;iv;past;mfn;pl,n;nt;nn;sg;gen - n;nt;nn;pl;nom - n;nt;nn;pl;acc,PARADIGM_ERROR
жезл,жезлы,2_18,2_3,n;m;nn;sg;nom - n;m;nn;sg;dat - n;m;nn;sg;acc,n;m;nn;pl;nom - n;m;nn;pl;acc,C
некотором,некоторую,2_14,2_13,prn;ind;nt;an;sg;prp - prn;ind;m;an;sg;prp - det;ind;nt;an;sg;prp - det;ind;m;an;sg;prp,prn;ind;f;an;sg;acc - det;ind;f;an;sg;acc,C
молоти,молотил,0_1,0_4,verb;impf;tv;imp;p2;sg - verb;impf;iv;imp;p2;sg,verb;impf;tv;past;m;sg - verb;impf;iv;past;m;sg - n;nt;nn;pl;gen,C
друге,друга,2_0,2_6,n;m;aa;sg;prp,n;m;aa;sg;acc - n;m;aa;sg;gen,C
отнимали,отниму,0_0,0_23,verb;impf;tv;past;mfn;pl - verb;impf;iv;past;mfn;pl,verb;perf;tv;fut;p1;sg - verb;perf;iv;fut;p1;sg,PARADIGM_ERROR
какая,каков,2_9,2_1,prn;itg;f;an;sg;nom - det;itg;f;an;sg;nom - verb;impf;iv;pprs;adv,prn;itg;m;an;sg;nom - prn;itg;mfn;an;pl;gen,PARADIGM_ERROR
ревнуя,ревнуешь,1_20,1_23,verb;impf;tv;pprs;adv - verb;impf;iv;pprs;adv,verb;impf;tv;pres;p2;sg - verb;impf;iv;pres;p2;sg,C
смертного,смерти,0_10,0_1,n;m;aa;sg;acc - n;m;aa;sg;gen - adj;sint;nt;an;sg;gen - adj;sint;m;an;sg;gen - adj;sint;m;aa;sg;acc,n;f;nn;sg;gen - n;f;nn;sg;dat - n;f;nn;sg;prp - n;f;nn;pl;nom - n;f;nn;pl;acc,PARADIGM_ERROR
Хашмоне,Хашмоны,2_0,2_3,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
удерживаете,удерживающий,1_19,1_21,verb;impf;tv;pres;p2;pl - verb;impf;iv;pres;p2;pl,verb;impf;tv;pprs;actv;m;an;sg;nom - verb;impf;tv;pprs;actv;m;nn;sg;acc - verb;impf;iv;pprs;actv;m;an;sg;nom - verb;impf;iv;pprs;actv;m;nn;sg;acc,C
вера,верным,0_13,0_28,n;f;nn;sg;nom,adj;sint;m;an;sg;ins - adj;sint;nt;an;sg;ins - adj;sint;mfn;an;pl;dat,POS_PAIR_ERROR
остановился,останови,0_18,0_1,verb;perf;iv;past;m;sg,verb;perf;tv;imp;p2;sg - verb;perf;iv;imp;p2;sg,PARADIGM_ERROR
наушник,наушника,2_18,2_6,n;m;nn;sg;nom - n;m;nn;sg;acc - n;m;aa;sg;nom - n;m;nn;sg;nom - n;m;nn;sg;acc,n;m;nn;sg;gen - n;m;aa;sg;gen - n;m;aa;sg;acc - n;m;nn;sg;gen,C
досках,досками,2_10,2_17,n;f;nn;pl;prp,n;f;nn;pl;ins,C
произносишь,произносить,0_15,0_31,verb;impf;tv;pres;p2;sg - verb;impf;iv;pres;p2;sg,verb;impf;tv;inf - verb;impf;iv;inf,C
всякого,всяк,2_7,2_18,,,TGT_LEXICAL_ERROR
терпят,терпение,0_29,0_7,verb;impf;tv;pres;p3;pl - verb;impf;iv;pres;p3;pl,n;nt;nn;sg;nom - n;nt;nn;sg;acc,POS_PAIR_ERROR
Иоппию,Иоппии,1_2,1_22,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
мучится,мучился,0_8,0_18,verb;impf;tv;pres;p3;sg;pass,verb;impf;tv;past;m;sg;pass,C
поймают,поймать,0_2,0_22,verb;perf;tv;fut;p3;pl - verb;perf;iv;fut;p3;pl,verb;perf;tv;inf - verb;perf;iv;inf,C
положились,положил,0_25,0_4,verb;perf;iv;past;mfn;pl,verb;perf;tv;past;m;sg - verb;perf;iv;past;m;sg,PARADIGM_ERROR
Рама,Рамы,2_6,2_3,n;f;nn;sg;nom,n;f;nn;pl;nom - n;f;nn;pl;acc - n;f;nn;sg;gen,C
истуканы,истукану,2_3,2_19,n;m;aa;pl;nom - n;m;nn;pl;nom - n;m;nn;pl;acc,n;m;aa;sg;dat - n;m;nn;sg;dat,C
занимались,занимают,1_17,1_0,verb;impf;iv;past;mfn;pl - verb;impf;tv;past;mfn;pl;pass,verb;impf;tv;pres;p3;pl - verb;impf;iv;pres;p3;pl,C
отпадения,отпадении,0_11,0_5,n;nt;nn;sg;gen - n;nt;nn;pl;nom - n;nt;nn;pl;acc,n;nt;nn;sg;prp,C
сотворены,сотворила,0_27,0_9,verb;perf;tv;pp;pasv;short;mfn;pl,verb;perf;tv;past;f;sg - verb;perf;iv;past;f;sg,C
небес,небесных,0_26,0_19,n;nt;nn;pl;gen - n;nt;nn;pl;gen,adj;sint;mfn;an;pl;gen - adj;sint;mfn;an;pl;prp - adj;sint;mfn;aa;pl;acc,POS_PAIR_ERROR
приблизит,приблизил,0_16,0_4,verb;perf;tv;fut;p3;sg - verb;perf;iv;fut;p3;sg,verb;perf;tv;past;m;sg - verb;perf;iv;past;m;sg,C
труб,трубный,0_26,0_12,n;f;nn;pl;gen,adj;sint;m;an;sg;nom - adj;sint;m;nn;sg;acc,POS_PAIR_ERROR
мира,мирные,0_13,0_21,n;m;nn;sg;gen - n;nt;nn;sg;gen - n;nt;nn;pl;nom - n;nt;nn;pl;acc - n;m;nn;sg;gen,adj;sint;mfn;an;pl;nom - adj;sint;mfn;nn;pl;acc,POS_PAIR_ERROR
найдем,найдут,1_13,1_0,verb;perf;tv;imp;p1;pl - verb;perf;tv;fut;p1;pl - verb;perf;iv;imp;p1;pl - verb;perf;iv;fut;p1;pl,verb;perf;tv;fut;p3;pl - verb;perf;iv;fut;p3;pl,C
омовения,омовение,1_20,1_10,n;nt;nn;sg;gen - n;nt;nn;pl;nom - n;nt;nn;pl;acc,n;nt;nn;sg;nom - n;nt;nn;sg;acc,C
посланным,посланные,0_28,0_21,verb;perf;tv;pp;pasv;m;an;sg;ins - verb;perf;tv;pp;pasv;nt;an;sg;ins - verb;perf;tv;pp;pasv;mfn;an;pl;dat,verb;perf;tv;pp;pasv;mfn;an;pl;nom - verb;perf;tv;pp;pasv;mfn;nn;pl;acc,C
военачальниками,военачальнику,2_17,2_19,n;m;aa;pl;ins,n;m;aa;sg;dat,C
другую,другой,2_13,2_2,det;ind;f;an;sg;acc,n;m;aa;sg;nom - det;ind;m;an;sg;nom - det;ind;m;nn;sg;acc - det;ind;f;an;sg;gen - det;ind;f;an;sg;dat - det;ind;f;an;sg;prp - det;ind;f;an;sg;ins,SRC_POS_ERROR
проклинаем,проклинайте,1_13,1_5,verb;impf;tv;pres;p1;pl - verb;impf;iv;pres;p1;pl - verb;impf;tv;pprs;pasv;short;m;sg,verb;impf;tv;imp;p2;pl - verb;impf;iv;imp;p2;pl,C
удерживать,удерживал,1_14,1_4,verb;impf;tv;inf - verb;impf;iv;inf,verb;impf;tv;past;m;sg - verb;impf;iv;past;m;sg,C
Сарепты,Сарепту,2_3,2_19,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
возлюбленную,возлюбленной,2_13,2_2,n;f;aa;sg;acc - verb;perf;tv;pp;pasv;f;an;sg;acc - adj;sint;f;an;sg;acc - adj;sint;f;nn;sg;acc,n;f;aa;sg;ins - n;f;aa;sg;gen - n;f;aa;sg;dat - n;f;aa;sg;prp - verb;perf;tv;pp;pasv;f;an;sg;gen - verb;perf;tv;pp;pasv;f;an;sg;dat - verb;perf;tv;pp;pasv;f;an;sg;prp - verb;perf;tv;pp;pasv;f;an;sg;ins - adj;sint;f;an;sg;gen - adj;sint;f;an;sg;dat - adj;sint;f;an;sg;prp - adj;sint;f;an;sg;ins,C
топоры,топор,2_3,2_18,n;m;nn;pl;nom - n;m;nn;pl;acc,n;m;nn;sg;nom - n;m;nn;sg;dat - n;m;nn;sg;acc,C
колеблется,колеблется,1_12,1_12,verb;impf;iv;pres;p3;sg - verb;impf;tv;pres;p3;sg;pass,verb;impf;iv;pres;p3;sg - verb;impf;tv;pres;p3;sg;pass,C
постоянного,постоянного,0_10,0_10,adj;sint;nt;an;sg;gen - adj;sint;m;an;sg;gen - adj;sint;m;aa;sg;acc,adj;sint;nt;an;sg;gen - adj;sint;m;an;sg;gen - adj;sint;m;aa;sg;acc,C
обширную,обширной,2_13,2_2,adj;sint;f;an;sg;acc - adj;sint;f;nn;sg;acc,adj;sint;f;an;sg;gen - adj;sint;f;an;sg;dat - adj;sint;f;an;sg;prp - adj;sint;f;an;sg;ins,C
защищу,защищение,0_23,0_7,,,TGT_LEXICAL_ERROR
разорены,разорил,0_27,0_4,verb;perf;tv;pp;pasv;short;mfn;pl,verb;perf;tv;past;m;sg - verb;perf;iv;past;m;sg,C
погубишь,погубит,0_15,0_16,verb;perf;tv;fut;p2;sg - verb;perf;iv;fut;p2;sg,verb;perf;tv;fut;p3;sg - verb;perf;iv;fut;p3;sg,C
полудня,полудню,1_20,1_2,n;m;nn;sg;gen,n;m;nn;sg;dat,C
сосчитай,сосчитай,1_1,1_1,verb;perf;tv;imp;p2;sg - verb;perf;iv;imp;p2;sg,verb;perf;tv;imp;p2;sg - verb;perf;iv;imp;p2;sg,C
причинил,причинит,0_4,0_16,verb;perf;tv;past;m;sg - verb;perf;iv;past;m;sg,verb;perf;tv;fut;p3;sg - verb;perf;iv;fut;p3;sg,C
Саула,Саулова,2_6,2_5,,,TGT_LEXICAL_ERROR
разорите,разорен,0_6,0_24,verb;perf;tv;fut;p2;pl - verb;perf;tv;imp;p2;pl - verb;perf;iv;fut;p2;pl - verb;perf;iv;imp;p2;pl,verb;perf;tv;pp;pasv;short;m;sg,C
попирает,попирает,1_3,1_3,verb;impf;tv;pres;p3;sg - verb;impf;iv;pres;p3;sg,verb;impf;tv;pres;p3;sg - verb;impf;iv;pres;p3;sg,C
проворным,проворным,2_16,2_16,adj;sint;m;an;sg;ins - adj;sint;nt;an;sg;ins - adj;sint;mfn;an;pl;dat,adj;sint;m;an;sg;ins - adj;sint;nt;an;sg;ins - adj;sint;mfn;an;pl;dat,C
населились,населит,0_25,0_16,verb;perf;iv;past;mfn;pl,verb;perf;tv;fut;p3;sg - verb;perf;iv;fut;p3;sg,PARADIGM_ERROR
неизреченный,неизреченною,2_12,2_4,adj;sint;m;an;sg;nom - adj;sint;m;nn;sg;acc,adj;sint;f;an;sg;ins,C
замечать,замечает,1_14,1_3,verb;impf;tv;inf - verb;impf;iv;inf,verb;impf;tv;pres;p3;sg - verb;impf;iv;pres;p3;sg,C
глубоком,глубокая,2_14,2_9,adj;sint;nt;an;sg;prp - adj;sint;m;an;sg;prp,adj;sint;f;an;sg;nom,C
жнецов,жнецам,2_1,2_11,n;m;aa;pl;gen - n;m;aa;pl;acc,n;m;aa;pl;dat,C
открывал,открывайте,1_4,1_5,verb;impf;tv;past;m;sg - verb;impf;iv;past;m;sg,verb;impf;tv;imp;p2;pl - verb;impf;iv;imp;p2;pl,C
полное,полу,0_3,0_23,adj;sint;nt;an;sg;nom - adj;sint;nt;an;sg;acc,n;m;nn;sg;dat - n;f;nn;sg;acc - n;m;nn;sg;dat - n;m;nn;sg;loc,POS_PAIR_ERROR
Наваф,Навафа,2_18,2_6,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
воздаешь,воздает,1_23,1_3,verb;impf;tv;pres;p2;sg - verb;impf;iv;pres;p2;sg,verb;impf;tv;pres;p3;sg - verb;impf;iv;pres;p3;sg,C
разрушает,разрушит,0_14,0_16,verb;impf;tv;pres;p3;sg - verb;impf;iv;pres;p3;sg,verb;perf;tv;fut;p3;sg - verb;perf;iv;fut;p3;sg,PARADIGM_ERROR
пары,парою,2_3,2_4,n;f;nn;pl;nom - n;f;nn;pl;acc - n;f;nn;sg;gen - n;m;nn;pl;nom - n;m;nn;pl;acc - n;m;nn;pl;nom - n;m;nn;pl;acc - n;m;nn;pl;nom - n;m;nn;pl;acc - n;m;nn;pl;nom - n;m;nn;pl;acc,n;f;nn;sg;ins,C
полагай,полагая,1_1,1_20,verb;impf;tv;imp;p2;sg - verb;impf;iv;imp;p2;sg,verb;impf;tv;pprs;adv - verb;impf;iv;pprs;adv,C
объявила,объявишь,0_9,0_15,verb;perf;tv;past;f;sg - verb;perf;iv;past;f;sg,verb;perf;tv;fut;p2;sg - verb;perf;iv;fut;p2;sg,C
просит,просите,0_16,0_6,verb;impf;tv;pres;p3;sg - verb;impf;iv;pres;p3;sg,verb;impf;tv;imp;p2;pl - verb;impf;tv;pres;p2;pl - verb;impf;iv;imp;p2;pl - verb;impf;iv;pres;p2;pl,C
приму,примите,1_2,1_24,n;f;aa;sg;acc - n;f;nn;sg;acc - verb;perf;tv;fut;p1;sg - verb;perf;iv;fut;p1;sg,verb;perf;tv;imp;p2;pl - verb;perf;iv;imp;p2;pl,C
строение,строить,0_7,0_31,n;nt;nn;sg;nom - n;nt;nn;sg;acc,verb;perf;tv;inf - verb;perf;iv;inf - verb;impf;tv;inf - verb;impf;iv;inf,POS_PAIR_ERROR
благословляем,благословляется,1_13,1_12,verb;impf;tv;pres;p1;pl - verb;impf;iv;pres;p1;pl - verb;impf;tv;pprs;pasv;short;m;sg,verb;impf;iv;pres;p3;sg - verb;impf;tv;pres;p3;sg;pass,C
сотворил,сотворен,0_4,0_24,verb;perf;tv;past;m;sg - verb;perf;iv;past;m;sg,verb;perf;tv;pp;pasv;short;m;sg,C
Риммоне,Риммону,2_0,2_19,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
Елнафана,Елнафан,2_6,2_18,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
сделает,сделались,1_3,1_17,verb;perf;tv;fut;p3;sg - verb;perf;iv;fut;p3;sg,verb;perf;iv;past;mfn;pl,PARADIGM_ERROR
Филистимского,Филистимскою,2_7,2_4,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
написанного,написанные,0_10,0_21,verb;perf;tv;pp;pasv;nt;an;sg;gen - verb;perf;tv;pp;pasv;m;an;sg;gen - verb;perf;tv;pp;pasv;m;aa;sg;acc - verb;perf;tv;pp;pasv;nt;an;sg;gen - verb;perf;tv;pp;pasv;m;an;sg;gen - verb;perf;tv;pp;pasv;m;aa;sg;acc,verb;perf;tv;pp;pasv;mfn;an;pl;nom - verb;perf;tv;pp;pasv;mfn;nn;pl;acc - verb;perf;tv;pp;pasv;mfn;an;pl;nom - verb;perf;tv;pp;pasv;mfn;nn;pl;acc,C
помост,помоста,2_18,2_6,n;m;nn;sg;nom - n;m;nn;sg;dat - n;m;nn;sg;acc,n;m;nn;sg;gen,C
забудешь,забудут,1_23,1_0,verb;perf;tv;fut;p2;sg - verb;perf;iv;fut;p2;sg,verb;perf;tv;fut;p3;pl - verb;perf;iv;fut;p3;pl,C
замедли,замедли,0_1,0_1,verb;perf;tv;imp;p2;sg - verb;perf;iv;imp;p2;sg,verb;perf;tv;imp;p2;sg - verb;perf;iv;imp;p2;sg,C
благодеяниях,благодеяниями,1_9,1_7,n;nt;nn;pl;prp,n;nt;nn;pl;ins,C
собирания,собирать,1_8,1_14,n;nt;nn;sg;gen - n;nt;nn;pl;nom - n;nt;nn;pl;acc,verb;impf;tv;inf - verb;impf;iv;inf,POS_PAIR_ERROR
отвратить,отвратили,0_31,0_0,verb;perf;tv;inf - verb;perf;iv;inf,verb;perf;tv;past;mfn;pl - verb;perf;iv;past;mfn;pl,C
чаше,чаш,2_0,2_18,n;f;nn;sg;dat - n;f;nn;sg;prp,n;f;nn;pl;gen,C
стерегу,стерегла,1_2,1_16,verb;impf;tv;pres;p1;sg - verb;impf;iv;pres;p1;sg,verb;impf;tv;past;f;sg - verb;impf;iv;past;f;sg,C
называть,называй,1_14,1_1,verb;impf;tv;inf - verb;impf;iv;inf,verb;impf;tv;imp;p2;sg - verb;impf;iv;imp;p2;sg,C
уповает,уповало,1_3,1_15,verb;impf;iv;pres;p3;sg,verb;impf;iv;past;nt;sg,C
красного,краса,0_10,0_13,n;m;aa;sg;acc - n;m;aa;sg;gen - adj;sint;nt;an;sg;gen - adj;sint;m;an;sg;gen - adj;sint;m;aa;sg;acc,n;f;nn;sg;nom,PARADIGM_ERROR
разум,разумен,0_26,0_24,n;m;nn;sg;nom - n;m;nn;sg;dat - n;m;nn;sg;acc,adj;sint;short;m;sg,POS_PAIR_ERROR
уразумения,уразумел,1_8,1_4,n;nt;nn;sg;gen - n;nt;nn;pl;nom - n;nt;nn;pl;acc,verb;perf;iv;past;m;sg,POS_PAIR_ERROR
исполняете,исполняющий,1_19,1_21,verb;impf;tv;pres;p2;pl - verb;impf;iv;pres;p2;pl,verb;impf;tv;pprs;actv;m;an;sg;nom - verb;impf;tv;pprs;actv;m;nn;sg;acc - verb;impf;iv;pprs;actv;m;an;sg;nom - verb;impf;iv;pprs;actv;m;nn;sg;acc,C
ранами,рана,2_17,2_6,n;f;nn;pl;ins,n;f;nn;sg;nom,C
вспомнила,вспомнили,0_9,0_0,verb;perf;tv;past;f;sg - verb;perf;iv;past;f;sg,verb;perf;tv;past;mfn;pl - verb;perf;iv;past;mfn;pl,C
Приклони,Приклоню,1_22,1_2,verb;perf;tv;imp;p2;sg - verb;perf;iv;imp;p2;sg,verb;perf;tv;fut;p1;sg - verb;perf;iv;fut;p1;sg,C
уставу,уставов,2_19,2_1,n;m;nn;sg;dat,n;m;nn;pl;gen,C
члены,членами,2_3,2_17,n;m;aa;pl;nom - n;m;nn;pl;nom - n;m;nn;pl;acc,n;m;aa;pl;ins - n;m;nn;pl;ins,C
реши,решит,0_1,0_16,verb;perf;tv;imp;p2;sg - verb;perf;iv;imp;p2;sg,verb;perf;tv;fut;p3;sg - verb;perf;iv;fut;p3;sg,C
Адами,Аду,2_17,2_19,n;f;nn;pl;ins,n;m;nn;sg;dat - n;m;nn;sg;prp - n;f;nn;sg;acc,C
отверсты,отверстым,2_3,2_16,adj;sint;short;mfn;pl,adj;sint;m;an;sg;ins - adj;sint;nt;an;sg;ins - adj;sint;mfn;an;pl;dat,C
спрашивая,спрашиваешь,1_20,1_23,verb;impf;tv;pprs;adv - verb;impf;iv;pprs;adv,verb;impf;tv;pres;p2;sg - verb;impf;iv;pres;p2;sg,C
мятежное,мятежный,0_3,0_12,adj;sint;nt;an;sg;nom - adj;sint;nt;an;sg;acc,adj;sint;m;an;sg;nom - adj;sint;m;nn;sg;acc,C
несут,несу,1_0,1_2,verb;impf;iv;pres;p3;pl,verb;impf;iv;pres;p1;sg,C
переставал,перестав,0_4,0_26,verb;impf;iv;past;m;sg,verb;perf;iv;pp;adv,PARADIGM_ERROR
упрашивал,упрашивали,1_1,1_22,verb;impf;tv;past;m;sg - verb;impf;iv;past;m;sg,verb;impf;tv;past;mfn;pl - verb;impf;iv;past;mfn;pl,C
цветы,цветами,2_3,2_17,n;m;nn;pl;nom - n;m;nn;pl;acc - n;m;nn;pl;nom - n;m;nn;pl;acc,n;m;nn;pl;ins - n;m;nn;pl;ins - n;m;nn;pl;ins,C
заключим,заключает,0_17,0_14,verb;perf;tv;fut;p1;pl - verb;perf;tv;imp;p1;pl - verb;perf;iv;fut;p1;pl - verb;perf;iv;imp;p1;pl,verb;impf;tv;pres;p3;sg - verb;impf;iv;pres;p3;sg,PARADIGM_ERROR
освещают,освещает,0_2,0_14,verb;impf;tv;pres;p3;pl - verb;impf;iv;pres;p3;pl,verb;impf;tv;pres;p3;sg - verb;impf;iv;pres;p3;sg,C
лежим,лежите,0_17,0_6,verb;impf;iv;pres;p1;pl,verb;impf;iv;imp;p2;pl - verb;impf;iv;pres;p2;pl,C
владеешь,владеть,1_23,1_14,verb;impf;iv;pres;p2;sg,verb;impf;iv;inf,C
отмщен,отмщен,0_24,0_24,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
уважать,уважении,0_22,0_5,verb;impf;tv;inf - verb;impf;iv;inf,n;nt;nn;sg;prp,POS_PAIR_ERROR
умный,ум,0_12,0_26,adj;sint;m;an;sg;nom - adj;sint;m;nn;sg;acc,n;m;nn;sg;nom - n;m;nn;sg;dat - n;m;nn;sg;acc,POS_PAIR_ERROR
